PARK,SIZE (ACRES),SIZE (KM^2),CATEGORY,BOROUGH,LAND AREA (KM^2),BOROUGH POPULATION,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
AMPERE PLAYGROUND,1.318,0.005336032,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
POTOMAC PLAYGROUND,1.315,0.005323887,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
DETECTIVE JOSEPH MAYROSE PARK,1.314,0.005319838,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
PAUL RAIMONDA PLAYGROUND,1.31,0.005303644,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
PRALL PLAYGROUND,1.307,0.005291498,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
HORACE HARDING PLAYGROUND,1.304,0.005279352,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
DEAN PLAYGROUND,1.3,0.005263158,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
SEVEN GABLES PLAYGROUND,1.297,0.005251012,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
TRIBOROUGH BRIDGE PLAYGROUND B,1.295,0.005242915,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
LITTLE FLOWER PLAYGROUND,1.294,0.005238866,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
DONGAN PLAYGROUND,1.293,0.005234818,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
BUSHWICK PLAYGROUND ON FLUSHING AVENUE,1.29,0.005222672,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
SAMUEL H. YOUNG PARK,1.285,0.005202429,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,1,0,0,1
EAST RIVER PLAYGROUND,1.285,0.005202429,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
BOWNE PLAYGROUND,1.28,0.005182186,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,1,1,0,0,0,2
SPACE TIME PLAYGROUND,1.28,0.005182186,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
RUDD PLAYGROUND,1.278,0.005174089,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
WILLOW LAKE PLAYGROUND,1.277,0.00517004,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
MURPHY'S BROTHER'S PLAYGROUND,1.275,0.005161943,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
COONEY GRAUER FIELD,1.274,0.005157895,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,1,0,1
WAGNER PLAYGROUND,1.27,0.0051417,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
EMERALD PLAYGROUND,1.265,0.005121457,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
CHARLIE'S PLACE,1.26,0.005101215,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
PELHAM BAY LITTLE LEAGUE,1.26,0.005101215,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
GREENE PLAYGROUND,1.259,0.005097166,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
TANAHEY PLAYGROUND,1.254,0.005076923,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
ALBERT J. PARHAM PLAYGROUND,1.253,0.005072874,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
PARKSIDE PLAYGROUND BROOKLYN,1.252,0.005068826,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
CARLTON PARK AT CARLTON BOULEVARD & CROWN AVENUE,1.25,0.005060729,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,1,0,1,0,0,0,2
PLAYGROUND NINETY,1.25,0.005060729,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,1,0,0,0,1
NEPTUNE PLAYGROUND,1.243,0.005032389,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
HECKSCHER PLAYGROUND,1.24,0.005020243,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,1,0,0,0,0,1
ANNUNCIATION PARK,1.24,0.005020243,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,1,0,1
QUEENSBORO OVAL,1.239,0.005016194,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
GRASSMERE PLAYGROUND,1.239,0.005016194,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
GONZALO PLASENCIA PLAYGROUND,1.236,0.005004049,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
FRESH MEADOWS PARK,1.23,0.004979757,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
RIENZI PLAYGROUND,1.23,0.004979757,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
ROEBLING PLAYGROUND,1.23,0.004979757,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
PATRICK O'ROURKE PARK,1.23,0.004979757,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
HOWARD BENNETT PLAYGROUND,1.228,0.00497166,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,1,1,0,0,0,2
STANLEY ISAACS PLAYGROUND,1.227,0.004967611,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
CHAPPETTO SQUARE,1.226,0.004963563,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
BRIGHTON PLAYGROUND,1.225,0.004959514,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,1,0,0,0,0,0,1
NELSON PLAYGROUND,1.222,0.004947368,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
SHEEPSHEAD BAY PIERS,1.22,0.004939271,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
ELEANOR ROOSEVELT PLAYGROUND,1.211,0.004902834,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
BAYVIEW PLAYGROUND,1.21,0.004898785,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,1,0,1
BAYSIDE PLAYGROUND,1.21,0.004898785,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
MURRAY HILL PLAYGROUND,1.206,0.004882591,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
FRANCIS LEWIS PLAYGROUND,1.206,0.004882591,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
MAGENTA PLAYGROUND,1.205,0.004878543,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
TIFFANY PLAYGROUND,1.205,0.004878543,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
MAURICE A FITZGERALD PLAYGROUND,1.201,0.004862348,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
HILTON HOLIDAY GARDENS,1.2,0.0048583,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
DANIEL BOONE PLAYGROUND,1.2,0.0048583,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
KOREAN WAR VETERANS PLAZA,1.195,0.004838057,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,1,1,0,0,0,2
HATTIE CARTHAN PLAYGROUND,1.195,0.004838057,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,1,0,1
STROUD PLAYGROUND,1.194,0.004834008,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
TILDEN PLAYGROUND,1.19,0.004817814,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
SOUTH OXFORD PARK,1.187,0.004805668,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,1,0,0,0,0,1
UNDERWOOD PARK,1.187,0.004805668,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
LAFAYETTE PLAYGROUND ON STILLWELL AVENUE,1.187,0.004805668,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
GROVE HILL PLAYGROUND,1.186,0.004801619,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
LA GUARDIA PLAYGROUND,1.179,0.004773279,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
UNNAMED PARK ON DRUMGOOLE ROAD & VERNON AVENUE,1.178,0.004769231,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
BELMONT PLAYGROUND BROOKLYN,1.177,0.004765182,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
STEUBEN PLAYGROUND,1.171,0.004740891,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
THE CYCLONE,1.17,0.004736842,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
WILLIAM SHERIDAN PLAYGROUND,1.17,0.004736842,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
OAKLAND GARDENS,1.166,0.004720648,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
UNIVERSITY PLACE,1.161,0.004700405,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
EHRENREICH-AUSTIN PLAYGROUND,1.161,0.004700405,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
HILLSIDE PARK QUEENS,1.16,0.004696356,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
HARDING PARK BEAUTIFICATION PROJECT,1.16,0.004696356,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
SITTING AREA AT HOYT AVENUE,1.16,0.004696356,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
CUYLER GORE PARK,1.158,0.004688259,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,1,0,0,0,1
BATH PLAYGROUND,1.157,0.004684211,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
POLICE OFFICER NICHOLAS DEMUTIIS PARK,1.151,0.004659919,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,1,1,0,1,0,3
"""UNCLE"" VITO E. MARANZANO GLENDALE PLAYGROUND",1.15,0.00465587,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
RAPPAPORT PLAYGROUND,1.148,0.004647773,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
EAST SPRINGFIELD PLAYGROUND,1.146,0.004639676,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
WILLETS POINT PLAYGROUND,1.145,0.004635628,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
TOAD HALL PLAYGROUND,1.145,0.004635628,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
SEASIDE PLAYGROUND,1.144,0.004631579,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,2,0,0,0,0,2
CORPORAL JOHN A. SERAVALLI PLAYGROUND,1.143,0.00462753,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,1,0,0,0,1
POPPENHUSEN PLAYGROUND,1.14,0.004615385,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
UNNAMED PARK ON ROCKAWAY BOARDWALK & B 28TH ST,1.14,0.004615385,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
SOBEL COURT PARK,1.137,0.004603239,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
FIDLER-WYCKOFF HOUSE PARK,1.13,0.004574899,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
WESTBOURNE PLAYGROUND,1.13,0.004574899,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
UNNAMED PARK ON SOUNDVIEW AVENUE,1.13,0.004574899,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
D'EMIC PLAYGROUND,1.13,0.004574899,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
PRESCOTT PLAYGROUND,1.124,0.004550607,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
LOPEZ PLAYGROUND,1.115,0.00451417,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
HUGH J. GRANT CIRCLE,1.11,0.004493927,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
PENA HERRERA PARK,1.107,0.004481781,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
P.S. 29 BALL FIELD,1.107,0.004481781,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
MENTONE PLAYGROUND,1.102,0.004461538,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
MIDDLETON PLAYGROUND,1.101,0.00445749,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
DE HOSTOS PLAYGROUND,1.1,0.004453441,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
SARATOGA BALLFIELDS,1.095,0.004433198,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
ROBERT MOSES PLAYGROUND,1.093,0.004425101,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,2,0,0,2
STOCKTON PLAYGROUND,1.089,0.004408907,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
JACOB'S LADDER PLAYGROUND,1.085,0.004392713,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
LOUIS ARMSTRONG PLAYGROUND,1.085,0.004392713,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
UNNAMED PARK ON HAMILTON AVENUE,1.08,0.00437247,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
LATIMER PLAYGROUND,1.076,0.004356275,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
UNNAMED PARK ON MELROSE AVENUE,1.075,0.004352227,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,1,0,0,1
MARLBORO PLAYGROUND,1.072,0.004340081,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
NORTH ROCHDALE PLAYGROUND,1.071,0.004336032,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,1,0,1
JEROME PLAYGROUND,1.068,0.004323887,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
GREAT KILLS PARK AT HILLCREST AVENUE,1.065,0.004311741,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
FERMI PLAYGROUND,1.061,0.004295547,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
ERICSSON PLAYGROUND,1.06,0.004291498,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
TELEPHONE PLAYGROUND,1.056,0.004275304,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
NELLIE BLY PARK,1.056,0.004275304,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
MELLETT PLAYGROUND,1.056,0.004275304,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
SEDGWICK PLAYGROUND,1.054,0.004267206,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
BRUCKNER PLAYGROUND,1.053,0.004263158,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
MILLBROOK PLAYGROUND,1.053,0.004263158,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
ROCKET PARK,1.052,0.004259109,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
PLAYGROUND 103 CIII,1.052,0.004259109,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
BEACH CHANNEL PLAYGROUND,1.051,0.004255061,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
L/CPL THOMAS P. NOONAN JR. PLAYGROUND,1.05,0.004251012,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
LOZADA PLAYGROUND,1.05,0.004251012,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
JAMES WELDON JOHNSON PLAYGROUND,1.048,0.004242915,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
SPRINGFIELD PARK NORTH,1.045,0.004230769,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
NICHOLAS NAQUAN HEYWARD JR. PARK,1.041,0.004214575,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
PLANEVIEW PARK,1.035,0.004190283,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
FISH PLAYGROUND,1.035,0.004190283,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
GILBERT RAMIREZ PARK,1.034,0.004186235,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
OXPORT PLAYGROUND,1.033,0.004182186,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
WOODTREE PLAYGROUND,1.033,0.004182186,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
VAN ALST PLAYGROUND,1.033,0.004182186,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
HAMMEL PLAYGROUND,1.03,0.00417004,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
SUNRISE PLAYGROUND,1.025,0.004149798,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
EASTCHESTER PLAYGROUND,1.025,0.004149798,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
POWELL PLAYGROUND,1.024,0.004145749,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,1,0,0,0,1
MATTHEWS MULINER PLAYGROUND,1.02,0.004129555,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
KALTENMEIER PLAYGROUND,1.02,0.004129555,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
BOWLING GREEN,1.016,0.00411336,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
ANNADALE PLAYGROUND,1.013,0.004101215,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
CURTIS PLAYGROUND,1.003,0.004060729,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
MELROSE PLAYGROUND,1.001,0.004052632,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
PLAYGROUND 174,1,0.004048583,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
PLIMPTON PLAYGROUND,1,0.004048583,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
HOWARD PLAYGROUND,1,0.004048583,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
CHESTER PLAYGROUND,1,0.004048583,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
JACKIE ROBINSON PLAYGROUND,1,0.004048583,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
CASERTA PLAYGROUND,1,0.004048583,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,1,1,0,0,0,2
BLAKE HOBBS PLAYGROUND,1,0.004048583,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
HACKETT PARK,1,0.004048583,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
RANDALL PLAYGROUND,1,0.004048583,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
PINK PLAYGROUND,1,0.004048583,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
MARTIN LUTHER KING PLAYGROUND,1,0.004048583,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
MONSIGNOR KETT PLAYGROUND,1,0.004048583,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,1,0,0,0,0,1
RUPPERT PARK,0.997,0.004036437,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
BELLEROSE PLAYGROUND,0.996,0.004032389,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
ARVERNE PLAYGROUND,0.993,0.004020243,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
ABRAHAM LINCOLN PLAYGROUND,0.991,0.004012146,BASKETBALL & POOL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,1,0,0,1
CAPTAIN RIVERA PLAYGROUND,0.988,0.004,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
NEWTOWN BARGE PLAYGROUND,0.983,0.003979757,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
HOLLIS PLAYGROUND,0.98,0.003967611,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,1,0,0,0,1
MAPLE PLAYGROUND,0.978,0.003959514,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
GOUVERNEUR PLAYGROUND,0.977,0.003955466,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
MOTT PLAYGROUND,0.977,0.003955466,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
LANNETT PLAYGROUND,0.974,0.00394332,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
ZIMMERMAN PLAYGROUND,0.974,0.00394332,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,1,0,0,0,1
TEN EYCK PLAYGROUND,0.972,0.003935223,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
RANAQUA PARK,0.972,0.003935223,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
MAE GRANT PLAYGROUND,0.97,0.003927126,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
CARVER PLAYGROUND,0.964,0.003902834,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
ANDRIES PLAYGROUND,0.964,0.003902834,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
PARK SLOPE PLAYGROUND,0.955,0.003866397,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
CHERRY TREE PARK,0.95,0.003846154,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
DAVIS PLAYGROUND,0.949,0.003842105,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
MATTHEW P. SAPOLIN PLAYGROUND,0.947,0.003834008,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
PETER MINUIT PLAYGROUND,0.943,0.003817814,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
SOUTH ROCHDALE PLAYGROUND,0.942,0.003813765,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,1,0,1
DREW PLAYGROUND,0.94,0.003805668,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,1,0,1
FOX PLAYGROUND BRONX,0.94,0.003805668,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,1,0,0,0,0,1
WALTER WARD PLAYGROUND,0.935,0.003785425,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
CRISPUS ATTUCKS PLAYGROUND,0.934,0.003781377,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
BENSON PLAYGROUND,0.934,0.003781377,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
